ID;DATE;TYPE;KIA;WIA;CITY;REGION;COUNTRY;DETAILS;GROUP;REMARKS;TEXT;FORMATTED_ADDRESS;LOCATION_LAT;LOCATION_LNG;LOCATION_CITY;LOCATION_REGION;LOCATION_COUNTRY;LOCATION_TYPE
11;26/11/2015;UNKNOWN;0;0;Simferopol;CRIMEA;UKRAINE;IED attack against a power substation;;;IED attack against a power substation ;Simferopol, Crimea;44,952117;34,102417;Simferopol;Crimea;Ukraine;APPROXIMATE
12;26/11/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Lukyanovska Metro station;Call reporting IED - First Responders action - no explosive Lukyanovska Metro station;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
13;26/11/2015;CACHE/FOUND;0;0;Klisiivka;DONETSK;UKRAINE;Near the railway, 500 gr of plastic explosive were found;;;Near the railway, 500 gr of plastic explosive were found ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
14;25/11/2015;CACHE/FOUND;0;0;Shchastya;LUHANSK ;UKRAINE;3 detonators & 600 gr TNT;;;3 detonators & 600 gr TNT ;Shchastya, Luhans'ka oblast, Ukraine;48,737247;39,2311974;Shchastya;Luhans'ka oblast;Ukraine;APPROXIMATE
15;24/11/2015;CACHE/FOUND;0;0;Bovrove;LUHANSK ;UKRAINE;A Command-Wired IED was found near a road close to a gas pipeline;;800 gr TNT & electric detonators;A Command-Wired IED was found near a road close to a gas pipeline 800 gr TNT & electric detonators;Luhansk, Luhans'ka oblast, Ukraine;48,574041;39,307815;Luhansk;Luhans'ka oblast;Ukraine;APPROXIMATE
16;22/11/2015;UNKNOWN;0;0;TBD;KHERSON;UKRAINE;Four electrical towers were blown up;;Electrical power to Crimea was disrrupted;Four electrical towers were blown up Electrical power to Crimea was disrrupted;Kherson, Khersons'ka oblast, Ukraine;46,635417;32,616867;Kherson;Khersons'ka oblast;Ukraine;APPROXIMATE
17;21/11/2015;CACHE/FOUND;0;0;Kryvyi Rih;DNIPROPETROVSK;UKRAINE;An IED was found in front of the City Council;;800 gr TNT& detonating cord, but without any fuze or switch;An IED was found in front of the City Council 800 gr TNT& detonating cord, but without any fuze or switch;Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine;47,910483;33,391783;Kryvyi Rih;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
18;20/11/2015;UNKNOWN;0;0;TBD;KHERSON;UKRAINE;Two electrical towers were blown up;;Electrical power to Crimea was disrrupted;Two electrical towers were blown up Electrical power to Crimea was disrrupted;Kherson, Khersons'ka oblast, Ukraine;46,635417;32,616867;Kherson;Khersons'ka oblast;Ukraine;APPROXIMATE
19;19/11/2015;CACHE/FOUND;0;0;Druzkivci;DONETSK;UKRAINE;Ammunition, explosives and detonators were found;;;Ammunition, explosives and detonators were found ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
20;18/11/2015;CACHE/FOUND;0;0;Mariupol ;DONETSK;UKRAINE;2,5 Kg of plastic explosive were found;;;2,5 Kg of plastic explosive were found ;Mariupol', Donetsk Oblast, Ukraine;47,097133;37,543367;Mariupol';Donetsk Oblast;Ukraine;APPROXIMATE
21;18/11/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Teatralna & Kreshatyk Metro stations;Call reporting IED - First Responders action - no explosive Teatralna & Kreshatyk Metro stations;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
22;17/11/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Threat against all MCDONALDS restaurants;Call reporting IED - First Responders action - no explosive Threat against all MCDONALDS restaurants;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
23;16/11/2015;CACHE/FOUND;0;0;Shchastya;LUHANSK ;UKRAINE;5 Kg of TNT were found along with weapons and ammunition;;;5 Kg of TNT were found along with weapons and ammunition ;Shchastya, Luhans'ka oblast, Ukraine;48,737247;39,2311974;Shchastya;Luhans'ka oblast;Ukraine;APPROXIMATE
24;16/11/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Central Metro station;Call reporting IED - First Responders action - no explosive Central Metro station;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
25;16/11/2015;CACHE/FOUND;0;0;Zakarpatye;DONETSK;UKRAINE;After the search of a van, 2 detonators & 400 gr of TNT were found;;;After the search of a van, 2 detonators & 400 gr of TNT were found ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
26;15/11/2015;HOAX/FALSE;0;0;Chernihiv;CHERNIHIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;It was a suitcase in front of a polling station;Call reporting IED - First Responders action - no explosive It was a suitcase in front of a polling station;Chernihiv, Chernihivs'ka oblast, Ukraine;51,4982;31,28935;Chernihiv;Chernihivs'ka oblast;Ukraine;APPROXIMATE
27;13/11/2015;UNKNOWN;0;0;Zhytomir;ZHYTOMYR;UKRAINEæ;An IED was detonated between Atlantic & Lviv Streets;;;An IED was detonated between Atlantic & Lviv Streets ;NULL;NULL;NULL;NULL;NULL;NULL;NULL
28;13/11/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Railway Central station;Call reporting IED - First Responders action - no explosive Railway Central station;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
29;13/11/2015;UNKNOWN;0;0;Uzhgorod;ZAKARPATS'KA;UKRAINE;An IED was detonated;;;An IED was detonated ;Uzhhorod, Zakarpats'ka oblast, Ukraine;48,6208;22,287883;Uzhhorod;Zakarpats'ka oblast;Ukraine;APPROXIMATE
30;13/11/2015;CACHE/FOUND;0;0;Shchastya;LUHANSK ;UKRAINE;Detonators, TNT and plastic explosive were seized;;;Detonators, TNT and plastic explosive were seized ;Shchastya, Luhans'ka oblast, Ukraine;48,737247;39,2311974;Shchastya;Luhans'ka oblast;Ukraine;APPROXIMATE
31;12/11/2015;UNKNOWN;2;0;Marinka;DONETSK;UKRAINE;A civilian car was affected by the detonation on an IED;;;A civilian car was affected by the detonation on an IED ;Mar'inka, Donetsk Oblast, Ukraine, 85600;47,9422861;37,5040301;Mar'inka;Donetsk Oblast;Ukraine;APPROXIMATE
32;12/11/2015;CACHE/FOUND;0;0;Mistky;LUHANSK ;UKRAINE;Weapons, grenades and ammunition found along with 1 Kg TNT;;;Weapons, grenades and ammunition found along with 1 Kg TNT ;Mistky, Luhans'ka oblast, Ukraine, 92654;49,3425248;38,5035221;Mistky;Luhans'ka oblast;Ukraine;APPROXIMATE
33;10/11/2015;CACHE/FOUND;0;0;Shchastya;LUHANSK ;UKRAINE;A cache with TNT and rockets was found;;;A cache with TNT and rockets was found ;Shchastya, Luhans'ka oblast, Ukraine;48,737247;39,2311974;Shchastya;Luhans'ka oblast;Ukraine;APPROXIMATE
34;10/11/2015;CACHE/FOUND;0;0; Volnovakha;DONETSK;UKRAINE;Several 120 mm artillery rounds were found protected by an IED;;Composed of TNT & artillery fuzes;Several 120 mm artillery rounds were found protected by an IED Composed of TNT & artillery fuzes;Volnovakha, Donetsk Oblast, Ukraine;47,5951141;37,4831419;Volnovakha;Donetsk Oblast;Ukraine;APPROXIMATE
35;09/11/2015;PROJECTED;1;0;Kiev;KIEV;UKRAINE;A man was killed after the detonation of an improvised hand grenade;;;A man was killed after the detonation of an improvised hand grenade ;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
36;07/11/2015;CACHE/FOUND;0;0;TBD;DONETSK;UKRAINE;Two caches with explosives were discovered;;;Two caches with explosives were discovered ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
37;06/11/2015;CACHE/FOUND;0;0;Odessa;ODESSA;UKRAINE;Explosives were found inside a garbage container;;;Explosives were found inside a garbage container ;Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
38;04/11/2015;CACHE/FOUND;0;0;Shchastya;LUHANSK ;UKRAINE;2 Kg of TNT were seized after a search for weapons and ammo;;;2 Kg of TNT were seized after a search for weapons and ammo ;Shchastya, Luhans'ka oblast, Ukraine;48,737247;39,2311974;Shchastya;Luhans'ka oblast;Ukraine;APPROXIMATE
39;03/11/2015;CACHE/FOUND;0;0;Pobeda;LUHANSK;UKRAINE;Explosives were found hidden in the roof of a house;;;Explosives were found hidden in the roof of a house ;Pobjeda, Luhans'ka oblast, Ukraine, 93523;49,0469389;39,1117866;Pobjeda;Luhans'ka oblast;Ukraine;APPROXIMATE
40;01/11/2015;UNKNOWN;0;2;Volnovakha;DONETSK;UKRAINE;An IED was used against a night club;;;An IED was used against a night club ;Volnovakha, Donetsk Oblast, Ukraine;47,5951141;37,4831419;Volnovakha;Donetsk Oblast;Ukraine;APPROXIMATE
41;31/10/2015;UNKNOWN;0;0;Svatovo;LUHANSK;UKRAINE; Ammunition depot was blown up after an IED detonation;;It causes the detonation of about 3500 tons of ammunition; Ammunition depot was blown up after an IED detonation It causes the detonation of about 3500 tons of ammunition;Svatove, Luhans'ka oblast, Ukraine;49,4154809;38,1568889;Svatove;Luhans'ka oblast;Ukraine;APPROXIMATE
42;29/10/2015;CACHE/FOUND;0;0;Mariupol ;DONETSK;UKRAINE;A DNR militant was detained with 100 gr of TNT;;;A DNR militant was detained with 100 gr of TNT ;Mariupol', Donetsk Oblast, Ukraine;47,097133;37,543367;Mariupol';Donetsk Oblast;Ukraine;APPROXIMATE
43;28/10/2015;CACHE/FOUND;0;0;Marinka;DONETSK;UKRAINE;Rockets, grenades and explosives were found;;;Rockets, grenades and explosives were found ;Mar'inka, Donetsk Oblast, Ukraine, 85600;47,9422861;37,5040301;Mar'inka;Donetsk Oblast;Ukraine;APPROXIMATE
44;27/10/2015;CACHE/FOUND;0;0;Kharkiv;KHARKIV;UKRAINE;A cache with explosives was discovered near a monastery;;Pokrovsky monastery, University Street;A cache with explosives was discovered near a monastery Pokrovsky monastery, University Street;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
45;26/10/2015;CACHE/FOUND;0;0;Artemivsk;DONETSK;UKRAINE;9 Kg of TNT and several detonators were seized;;;9 Kg of TNT and several detonators were seized ;Bakhmut, Donetsk Oblast, Ukraine;48,5986674;37,9980367;Bakhmut;Donetsk Oblast;Ukraine;APPROXIMATE
46;24/10/2015;CACHE/FOUND;0;0;Slavne;DONETSK;UKRAINE;Detonators and TNT were found;;;Detonators and TNT were found ;Slavne, Donetsk Oblast, Ukraine, 86200;48,217321;38,3194357;Slavne;Donetsk Oblast;Ukraine;APPROXIMATE
47;22/10/2015;CACHE/FOUND;0;0;Novokramatorsk;DONETSK;UKRAINE;Grenades and 400 gr of TNT were found;;;Grenades and 400 gr of TNT were found ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
48;22/10/2015;CACHE/FOUND;0;0;Zaceive;DONETSK;UKRAINE;More than 20 Kg of TNT were seized after a search;;;More than 20 Kg of TNT were seized after a search ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
49;22/10/2015;UNKNOWN;0;1;Zolote;LUHANSK;UKRAINE;The detonation of an IED caused injuries to one soldier;;;The detonation of an IED caused injuries to one soldier ;Zolote, Luhans'ka oblast, Ukraine;48,6928568;38,5146349;Zolote;Luhans'ka oblast;Ukraine;APPROXIMATE
50;21/10/2015;CACHE/FOUND;0;0;Verkhnio Toretske;DONETSK;UKRAINE;Weapons, 1.1 Kg TNT and landmines were found;;;Weapons, 1.1 Kg TNT and landmines were found ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
51;21/10/2015;UNKNOWN;0;1;Mikolayiv;MIKOLAYIV;UKRAINE;Detonation of a device inside an apartment;;;Detonation of a device inside an apartment ;Mykolaiv, Mykolaivs'ka oblast, Ukraine;46,975033;31,994583;Mykolaiv;Mykolaivs'ka oblast;Ukraine;APPROXIMATE
52;20/10/2015;HOAX/FALSE;0;0;Mariupol ;DONETSK;UKRAINE;Call reporting IED - First Responders action - no explosive;;Khmelnytsky Boulevard;Call reporting IED - First Responders action - no explosive Khmelnytsky Boulevard;Mariupol', Donetsk Oblast, Ukraine;47,097133;37,543367;Mariupol';Donetsk Oblast;Ukraine;APPROXIMATE
53;20/10/2015;CACHE/FOUND;0;0;Shchastya;LUHANSK;UKRAINE;Weapons, ammunition & explosives were discovered in a search;;;Weapons, ammunition & explosives were discovered in a search ;Shchastya, Luhans'ka oblast, Ukraine;48,737247;39,2311974;Shchastya;Luhans'ka oblast;Ukraine;APPROXIMATE
54;19/10/2015;CACHE/FOUND;0;0;Kryvyi Rih;DNIPROPETROVSK;UKRAINE;Explosives were found during a search for weapons;;20 Kg TNT, 7 m detonating cord & 7 electric detonators;Explosives were found during a search for weapons 20 Kg TNT, 7 m detonating cord & 7 electric detonators;Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine;47,910483;33,391783;Kryvyi Rih;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
55;19/10/2015;CACHE/FOUND;0;0;Mezhova;DONETSK;UKRAINE;Black powder and explosives were seized during a vehicle search;;;Black powder and explosives were seized during a vehicle search ;Rubizhne, Luhans'ka oblast, Ukraine;49,0161213;38,3751404;Rubizhne;Luhans'ka oblast;Ukraine;APPROXIMATE
56;18/10/2015;CACHE/FOUND;0;0;Sergueevka;DONETSK;UKRAINE;2 Kg of TNT were found along with weapons;;;2 Kg of TNT were found along with weapons ;Serhiivka, Donetsk Oblast, Ukraine, 84191;48,6723762;37,3716475;Serhiivka;Donetsk Oblast;Ukraine;APPROXIMATE
57;17/10/2015;UNKNOWN;0;0;Kiev;KIEV;UKRAINE;An IED was detonated in a parking area;;;An IED was detonated in a parking area ;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
58;17/10/2015;UNKNOWN;0;0;Kherson;KHERSON;UKRAINE;A device was blown up against a caf_;;;A device was blown up against a caf_ ;Kherson, Khersons'ka oblast, Ukraine;46,635417;32,616867;Kherson;Khersons'ka oblast;Ukraine;APPROXIMATE
59;16/10/2015;CACHE/FOUND;0;0;Artemivsk;DONETSK;UKRAINE;Detonators and munitions were found during a search;;;Detonators and munitions were found during a search ;Bakhmut, Donetsk Oblast, Ukraine;48,5986674;37,9980367;Bakhmut;Donetsk Oblast;Ukraine;APPROXIMATE
60;16/10/2015;CACHE/FOUND;0;0;Kurakhovo;DONETSK;UKRAINE;Weapons, explosives and detonators were discovered;;;Weapons, explosives and detonators were discovered ;Kurakhove, Donetsk Oblast, Ukraine;47,9865822;37,2906965;Kurakhove;Donetsk Oblast;Ukraine;APPROXIMATE
61;15/10/2015;CACHE/FOUND;0;0;Maryinsky;DONETSK;UKRAINE;Explosives found;;;Explosives found ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
62;13/10/2015;CACHE/FOUND;0;0;Marinka;DONETSK;UKRAINE;Weapons, gunpowder and explosives were found;;æNot clear if explosives were munition or explosives in fact;Weapons, gunpowder and explosives were found æNot clear if explosives were munition or explosives in fact;Mar'inka, Donetsk Oblast, Ukraine, 85600;47,9422861;37,5040301;Mar'inka;Donetsk Oblast;Ukraine;APPROXIMATE
63;13/10/2015;CACHE/FOUND;0;0;Dnipropetrovsk;DNIPROPETROVSK;UKRAINE;A man was detained with explosives;;11 Kg of plastic explosive along with 5 electric detonators;A man was detained with explosives 11 Kg of plastic explosive along with 5 electric detonators;Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine;48,464717;35,046183;Dnepropetrovsk;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
64;12/10/2015;UNKNOWN;1;0;Krivoy Rog;DNIPROPETROVSK;UKRAINE;A suspected IED emplacer was killed by his own IED;;In front of a school;A suspected IED emplacer was killed by his own IED In front of a school;Kryvyi Rih, Dnipropetrovsk Oblast, Ukraine;47,910483;33,391783;Kryvyi Rih;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
65;07/10/2015;UNKNOWN;0;0;Lviv;LVIV;UKRAINE;Detonation of a device against Poland Consulate;;It was emplaced inside a garbage can;Detonation of a device against Poland Consulate It was emplaced inside a garbage can;Lviv, Lviv Oblast, Ukraine;49,839683;24,029717;Lviv;Lviv Oblast;Ukraine;APPROXIMATE
66;07/10/2015;UNKNOWN;0;0;Kharkiv;KHARKIV;UKRAINE;An IED was blown up against in the railroad;;"Station ""kupiansk-Uzlovy""";"An IED was blown up against in the railroad Station ""kupiansk-Uzlovy""";Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
67;07/10/2015;CACHE/FOUND;0;0;Aslanove;DONETSK;UKRAINE;Some weapons were found along with explosives;;TNT and plastic explosive;Some weapons were found along with explosives TNT and plastic explosive;Aslanove, Donetsk Oblast, Ukraine, 87032;47,2435632;37,579323;Aslanove;Donetsk Oblast;Ukraine;APPROXIMATE
68;07/10/2015;UNKNOWN;0;0;Bilhorod Dnistrovsky;ODESSA;UKRAINE;A device was blown up against an enlistment office;;200 gr TNT equivalent;A device was blown up against an enlistment office 200 gr TNT equivalent;Bilhorod-Dnistrovs'kyi, Odessa Oblast, Ukraine;46,1854516;30,3414908;Bilhorod-Dnistrovs'kyi;Odessa Oblast;Ukraine;APPROXIMATE
69;07/10/2015;CACHE/FOUND;0;0;Bila Tserkva;KIEV;UKRAINE;Arms dealers were detained: explosives found;;;Arms dealers were detained: explosives found ;Bila Tserkva, Kyivs'ka oblast, Ukraine;49,7967977;30,1310853;Bila Tserkva;Kyivs'ka oblast;Ukraine;APPROXIMATE
70;03/10/2015;CACHE/FOUND;0;0;Popasna;LUHANSK;UKRAINE;Explosives and weapons were found;;;Explosives and weapons were found ;Popasna, Luhans'ka oblast, Ukraine;48,6282422;38,3727154;Popasna;Luhans'ka oblast;Ukraine;APPROXIMATE
71;05/10/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;City center;Call reporting IED - First Responders action - no explosive City center;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
72;03/10/2015;CACHE/FOUND;0;0;Dzerzhinsk;DONETSK;UKRAINE;A man was detained when trying to emplace an IED;;Against a check point in the road;A man was detained when trying to emplace an IED Against a check point in the road;Toretsk, Donetsk Oblast, Ukraine;48,3972873;37,855245;Toretsk;Donetsk Oblast;Ukraine;APPROXIMATE
73;02/10/2015;VOIED;1;0;Stanytsia Luhanska;LUHANSK ;UKRAINE;One soldier was killed after the detonation of an IED;;;One soldier was killed after the detonation of an IED ;Stanytsia Luhanska, Luhans'ka oblast, Ukraine, 93600;48,6798458;39,4672507;Stanytsia Luhanska;Luhans'ka oblast;Ukraine;APPROXIMATE
74;01/10/2015;CACHE/FOUND;0;0;Vinnytsia;VINNYTSIA;UKRAINE;One arms dealer was detained in possession of explosives;;TNT blocks (4,6 Kg);One arms dealer was detained in possession of explosives TNT blocks (4,6 Kg);Vinnytsia, Vinnyts'ka oblast, Ukraine;49,233083;28,468217;Vinnytsia;Vinnyts'ka oblast;Ukraine;APPROXIMATE
75;01/10/2015;CACHE/FOUND;0;0;Kurakhovo;DONETSK;UKRAINE;Explosives and detonators were seized;;;Explosives and detonators were seized ;Kurakhove, Donetsk Oblast, Ukraine;47,9865822;37,2906965;Kurakhove;Donetsk Oblast;Ukraine;APPROXIMATE
76;30/09/2015;CACHE/FOUND;0;0;Dnipropetrovsk;DNIPROPETROVSK;UKRAINE;Explosives and detonators were seized;;;Explosives and detonators were seized ;Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine;48,464717;35,046183;Dnepropetrovsk;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
77;28/09/2015;UNKNOWN;0;1;Kiev;KIEV;UKRAINE;A device was blown up in a railway station;;"In ""Southern Vzryvpaket"" station. Suspect was detained hours later.";"A device was blown up in a railway station In ""Southern Vzryvpaket"" station. Suspect was detained hours later.";Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
78;28/09/2015;UNKNOWN;0;0;Kharkiv;KHARKIV;UKRAINE;A device detonated in central railway station;;Not confirmed;A device detonated in central railway station Not confirmed;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
79;27/09/2015;UNKNOWN;0;0;Odessa;ODESSA;UKRAINE;IED attack against the building of UKR Security Service (SBU/???);;"5-7  Kg TNT equivalent. It was claimed by ""???????? ????????""";"IED attack against the building of UKR Security Service (SBU/???) 5-7  Kg TNT equivalent. It was claimed by ""???????? ????????""";Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
80;26/09/2015;HOAX/FALSE;0;0;Odessa;ODESSA;UKRAINE;Call reporting IED - First Responders action - no explosive;;Central railway station;Call reporting IED - First Responders action - no explosive Central railway station;Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
81;25/09/2015;CACHE/FOUND;0;0;Severodonetsk;LUHANSK;UKRAINE;Several IEDs were found protecting a cache withy missiles;;;Several IEDs were found protecting a cache withy missiles ;Severodonetsk, Luhans'ka oblast, Ukraine;48,9481767;38,4878773;Severodonetsk;Luhans'ka oblast;Ukraine;APPROXIMATE
82;24/09/2015;UNKNOWN;1;3;Torez;DONETSK;UKRAINE;An IED blown up during a military tank competition;;It was hidden inside a combat vehicles battery compartment;An IED blown up during a military tank competition It was hidden inside a combat vehicles battery compartment;Torez, Donetsk Oblast, Ukraine;48,0201627;38,6545258;Torez;Donetsk Oblast;Ukraine;APPROXIMATE
83;23/09/2015;VOIED;0;0;Sopyne;DONETSK;UKRAINE;Several IEDs were found under Ukrainian soldiers corpses;;;Several IEDs were found under Ukrainian soldiers corpses ;Sopyne, Donetsk Oblast, Ukraine, 87641;47,0915367;37,754335;Sopyne;Donetsk Oblast;Ukraine;APPROXIMATE
84;22/09/2015;CACHE/FOUND;0;0;TBD;DNIPROPETROVSK;UKRAINE;3 suspects were detained when r-trying to blow a bridge up;;Explosives and detonators were seized;3 suspects were detained when r-trying to blow a bridge up Explosives and detonators were seized;Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine;48,464717;35,046183;Dnepropetrovsk;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
85;21/09/2015;CACHE/FOUND;0;0;Mikolayiv;MIKOLAYIV;UKRAINE;Explosives found after detention of 4 suspects;;One complete IED, other explosives and weapons;Explosives found after detention of 4 suspects One complete IED, other explosives and weapons;Mykolaiv, Mykolaivs'ka oblast, Ukraine;46,975033;31,994583;Mykolaiv;Mykolaivs'ka oblast;Ukraine;APPROXIMATE
