ID,DATE,TYPE,KIA,WIA,CITY,REGION,COUNTRY,DETAILS,GROUP,REMARKS,TEXT
22,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Threat against all MCDONALDS restaurants,Call reporting IED - First Responders action - no explosive Threat against all MCDONALDS restaurants
23,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,5 Kg of TNT were found along with weapons and ammunition,,,5 Kg of TNT were found along with weapons and ammunition 
24,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Central Metro station,Call reporting IED - First Responders action - no explosive Central Metro station
25,00:00.0,CACHE/FOUND,0,0,Zakarpatye,DONETSK,UKRAINE,"After the search of a van, 2 detonators & 400 gr of TNT were found",,,"After the search of a van, 2 detonators & 400 gr of TNT were found "
26,00:00.0,HOAX/FALSE,0,0,Chernihiv,CHERNIHIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,It was a suitcase in front of a polling station,Call reporting IED - First Responders action - no explosive It was a suitcase in front of a polling station
27,00:00.0,UNKNOWN,0,0,Zhytomir,ZHYTOMYR,UKRAINEæ,An IED was detonated between Atlantic & Lviv Streets,,,An IED was detonated between Atlantic & Lviv Streets 
28,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Railway Central station,Call reporting IED - First Responders action - no explosive Railway Central station
29,00:00.0,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,UKRAINE,An IED was detonated,,,An IED was detonated 
30,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,"Detonators, TNT and plastic explosive were seized",,,"Detonators, TNT and plastic explosive were seized "
31,00:00.0,UNKNOWN,2,0,Marinka,DONETSK,UKRAINE,A civilian car was affected by the detonation on an IED,,,A civilian car was affected by the detonation on an IED 
32,00:00.0,CACHE/FOUND,0,0,Mistky,LUHANSK ,UKRAINE,"Weapons, grenades and ammunition found along with 1 Kg TNT",,,"Weapons, grenades and ammunition found along with 1 Kg TNT "
33,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,A cache with TNT and rockets was found,,,A cache with TNT and rockets was found 
34,00:00.0,CACHE/FOUND,0,0, Volnovakha,DONETSK,UKRAINE,Several 120 mm artillery rounds were found protected by an IED,,Composed of TNT & artillery fuzes,Several 120 mm artillery rounds were found protected by an IED Composed of TNT & artillery fuzes
35,00:00.0,PROJECTED,1,0,Kievæ,æKIEV,UKRAINEæ,A man was killed after the detonation of an improvised hand grenade,,,A man was killed after the detonation of an improvised hand grenade 
36,00:00.0,CACHE/FOUND,0,0,TBD,DONETSK,UKRAINE,Two caches with explosives were discovered,,,Two caches with explosives were discovered 
37,00:00.0,CACHE/FOUND,0,0,Odessa,ODESSA,UKRAINE,Explosives were found inside a garbage container,,,Explosives were found inside a garbage container 
38,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,2 Kg of TNT were seized after a search for weapons and ammo,,,2 Kg of TNT were seized after a search for weapons and ammo 
39,00:00.0,CACHE/FOUND,0,0,Pobeda,LUHANSK,UKRAINE,Explosives were found hidden in the roof of a house,,,Explosives were found hidden in the roof of a house 
40,00:00.0,UNKNOWN,0,2,Volnovakha,DONETSK,UKRAINE,An IED was used against a night club,,,An IED was used against a night club 
41,00:00.0,UNKNOWN,0,0,Svatovo,LUHANSK,UKRAINE, Ammunition depot was blown up after an IED detonation,,It causes the detonation of about 3500 tons of ammunition, Ammunition depot was blown up after an IED detonation It causes the detonation of about 3500 tons of ammunition
42,00:00.0,CACHE/FOUND,0,0,Mariupol ,DONETSK,UKRAINE,A DNR militant was detained with 100 gr of TNT,,,A DNR militant was detained with 100 gr of TNT 
43,00:00.0,CACHE/FOUND,0,0,Marinka,DONETSK,UKRAINE,"Rockets, grenades and explosives were found",,,"Rockets, grenades and explosives were found "
44,00:00.0,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,A cache with explosives was discovered near a monastery,,"Pokrovsky monastery, University Street","A cache with explosives was discovered near a monastery Pokrovsky monastery, University Street"
45,00:00.0,CACHE/FOUND,0,0,Artemivsk,DONETSK,UKRAINE,9 Kg of TNT and several detonators were seized,,,9 Kg of TNT and several detonators were seized 
46,00:00.0,CACHE/FOUND,0,0,Slavne,DONETSK,UKRAINE,Detonators and TNT were found,,,Detonators and TNT were found 
47,00:00.0,CACHE/FOUND,0,0,Novokramatorsk,DONETSK,UKRAINE,Grenades and 400 gr of TNT were found,,,Grenades and 400 gr of TNT were found 
48,00:00.0,CACHE/FOUND,0,0,Zaceive,DONETSK,UKRAINE,More than 20 Kg of TNT were seized after a search,,,More than 20 Kg of TNT were seized after a search 
49,00:00.0,UNKNOWN,0,1,Zolote,LUHANSK,UKRAINE,The detonation of an IED caused injuries to one soldier,,,The detonation of an IED caused injuries to one soldier 
50,00:00.0,CACHE/FOUND,0,0,Verkhnio Toretske,DONETSK,UKRAINE,"Weapons, 1.1 Kg TNT and landmines were found",,,"Weapons, 1.1 Kg TNT and landmines were found "
51,00:00.0,UNKNOWN,0,1,Mikolayiv,MIKOLAYIV,UKRAINE,Detonation of a device inside an apartment,,,Detonation of a device inside an apartment 
52,00:00.0,HOAX/FALSE,0,0,Mariupol ,DONETSK,UKRAINE,Call reporting IED - First Responders action - no explosive,,Khmelnytsky Boulevard,Call reporting IED - First Responders action - no explosive Khmelnytsky Boulevard
53,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK,UKRAINE,"Weapons, ammunition & explosives were discovered in a search",,,"Weapons, ammunition & explosives were discovered in a search "
54,00:00.0,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK,UKRAINE,Explosives were found during a search for weapons,,"20 Kg TNT, 7 m detonating cord & 7 electric detonators","Explosives were found during a search for weapons 20 Kg TNT, 7 m detonating cord & 7 electric detonators"
55,00:00.0,CACHE/FOUND,0,0,Mezhova,DONETSK,UKRAINE,Black powder and explosives were seized during a vehicle search,,,Black powder and explosives were seized during a vehicle search 
56,00:00.0,CACHE/FOUND,0,0,Sergueevka,DONETSK,UKRAINE,2 Kg of TNT were found along with weapons,,,2 Kg of TNT were found along with weapons 
57,00:00.0,UNKNOWN,0,0,Kievæ,æKIEV,UKRAINEæ,An IED was detonated in a parking area,,,An IED was detonated in a parking area 
58,00:00.0,UNKNOWN,0,0,Kherson,KHERSON,UKRAINE,A device was blown up against a caf_,,,A device was blown up against a caf_ 
59,00:00.0,CACHE/FOUND,0,0,Artemivsk,DONETSK,UKRAINE,Detonators and munitions were found during a search,,,Detonators and munitions were found during a search 
60,00:00.0,CACHE/FOUND,0,0,Kurakhovo,DONETSK,UKRAINE,"Weapons, explosives and detonators were discovered",,,"Weapons, explosives and detonators were discovered "
61,00:00.0,CACHE/FOUND,0,0,Maryinsky,DONETSK,UKRAINE,Explosives found,,,Explosives found 
62,00:00.0,CACHE/FOUND,0,0,Marinka,DONETSK,UKRAINE,"Weapons, gunpowder and explosives were found",,æNot clear if explosives were munition or explosives in fact,"Weapons, gunpowder and explosives were found æNot clear if explosives were munition or explosives in fact"
63,00:00.0,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,A man was detained with explosives,,11 Kg of plastic explosive along with 5 electric detonators,A man was detained with explosives 11 Kg of plastic explosive along with 5 electric detonators
64,00:00.0,UNKNOWN,1,0,Krivoy Rog,DNIPROPETROVSK,UKRAINE,A suspected IED emplacer was killed by his own IED,,In front of a school,A suspected IED emplacer was killed by his own IED In front of a school
65,00:00.0,UNKNOWN,0,0,Lviv,LVIV,UKRAINE,Detonation of a device against Poland Consulate,,It was emplaced inside a garbage can,Detonation of a device against Poland Consulate It was emplaced inside a garbage can
66,00:00.0,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,An IED was blown up against in the railroad,,"Station ""kupiansk-Uzlovy""","An IED was blown up against in the railroad Station ""kupiansk-Uzlovy"""
67,00:00.0,CACHE/FOUND,0,0,Aslanove,DONETSK,UKRAINE,Some weapons were found along with explosives,,TNT and plastic explosive,Some weapons were found along with explosives TNT and plastic explosive
68,00:00.0,UNKNOWN,0,0,Bilhorod Dnistrovsky,ODESSA,UKRAINE,A device was blown up against an enlistment office,,200 gr TNT equivalent,A device was blown up against an enlistment office 200 gr TNT equivalent
69,00:00.0,CACHE/FOUND,0,0,Bila Tserkva,KIEV,UKRAINE,Arms dealers were detained: explosives found,,,Arms dealers were detained: explosives found 
70,00:00.0,CACHE/FOUND,0,0,Popasna,LUHANSK,UKRAINE,Explosives and weapons were found,,,Explosives and weapons were found 
71,00:00.0,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,City center,Call reporting IED - First Responders action - no explosive City center
72,00:00.0,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK,UKRAINE,A man was detained when trying to emplace an IED,,Against a check point in the road,A man was detained when trying to emplace an IED Against a check point in the road
73,00:00.0,VOIED,1,0,Stanytsia Luhanska,LUHANSK ,UKRAINE,One soldier was killed after the detonation of an IED,,,One soldier was killed after the detonation of an IED 
74,00:00.0,CACHE/FOUND,0,0,Vinnytsia,VINNYTSIA,UKRAINE,One arms dealer was detained in possession of explosives,,"TNT blocks (4,6 Kg)","One arms dealer was detained in possession of explosives TNT blocks (4,6 Kg)"
75,00:00.0,CACHE/FOUND,0,0,Kurakhovo,DONETSK,UKRAINE,Explosives and detonators were seized,,,Explosives and detonators were seized 
76,00:00.0,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,Explosives and detonators were seized,,,Explosives and detonators were seized 
77,00:00.0,UNKNOWN,0,1,Kievæ,æKIEV,UKRAINEæ,A device was blown up in a railway station,,"In ""Southern Vzryvpaket"" station. Suspect was detained hours later.","A device was blown up in a railway station In ""Southern Vzryvpaket"" station. Suspect was detained hours later."
78,00:00.0,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device detonated in central railway station,,Not confirmed,A device detonated in central railway station Not confirmed
79,00:00.0,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,IED attack against the building of UKR Security Service (SBU/???),,"5-7  Kg TNT equivalent. It was claimed by ""???????? ????????""","IED attack against the building of UKR Security Service (SBU/???) 5-7  Kg TNT equivalent. It was claimed by ""???????? ????????"""
80,00:00.0,HOAX/FALSE,0,0,Odessa,ODESSA,UKRAINE,Call reporting IED - First Responders action - no explosive,,Central railway station,Call reporting IED - First Responders action - no explosive Central railway station
81,00:00.0,CACHE/FOUND,0,0,Severodonetsk,LUHANSK,UKRAINE,Several IEDs were found protecting a cache withy missiles,,,Several IEDs were found protecting a cache withy missiles 
82,00:00.0,UNKNOWN,1,3,Torez,DONETSK,UKRAINE,An IED blown up during a military tank competition,,It was hidden inside a combat vehicles battery compartment,An IED blown up during a military tank competition It was hidden inside a combat vehicles battery compartment
83,00:00.0,VOIED,0,0,Sopyne,DONETSK,UKRAINE,Several IEDs were found under Ukrainian soldiers corpses,,,Several IEDs were found under Ukrainian soldiers corpses 
84,00:00.0,CACHE/FOUND,0,0,TBD,DNIPROPETROVSK,UKRAINE,3 suspects were detained when r-trying to blow a bridge up,,Explosives and detonators were seized,3 suspects were detained when r-trying to blow a bridge up Explosives and detonators were seized
85,00:00.0,CACHE/FOUND,0,0,Mikolayiv,MIKOLAYIV,UKRAINE,Explosives found after detention of 4 suspects,,"One complete IED, other explosives and weapons","Explosives found after detention of 4 suspects One complete IED, other explosives and weapons"
86,00:00.0,CACHE/FOUND,0,0,TBD,DONETSK,UKRAINE,Explosives were found during vehicle search in a check point,,"Detonating cord, detonators and military ordnance as main charge","Explosives were found during vehicle search in a check point Detonating cord, detonators and military ordnance as main charge"
87,00:00.0,CACHE/FOUND,0,0,Debaltseve,LUHANSK,UKRAINE,"A cache with weapons, ammunition and TNT was discovered",,,"A cache with weapons, ammunition and TNT was discovered "
88,00:00.0,CACHE/FOUND,0,0,Polovynkyne,LUHANSK,UKRAINE,A large cache of weapons and explosives was discovered,,,A large cache of weapons and explosives was discovered 
89,00:00.0,VOIED,0,2,Berezove,DONETSK,UKRAINE,Two women wounded after triggering an IED,,,Two women wounded after triggering an IED 
90,00:00.0,CACHE/FOUND,0,0,Mariupol,DONETSK,UKRAINE,4 KG of TNT and other ammunition were found in a warehouse,,"They were packed in white bags marked as ""Novorossiya Aid Foundation""","4 KG of TNT and other ammunition were found in a warehouse They were packed in white bags marked as ""Novorossiya Aid Foundation"""
91,00:00.0,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was detonated in a residential area,,,A device was detonated in a residential area 
92,00:00.0,CACHE/FOUND,0,0,Odessa,ODESSA,UKRAINE,A man was discovered when trying to plant an IED near a check point,,"Reported as RC switch (mobile phone), 400 gr TNT block as main charge","A man was discovered when trying to plant an IED near a check point Reported as RC switch (mobile phone), 400 gr TNT block as main charge"
93,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK,UKRAINE,Explosives and weapons were found,,,Explosives and weapons were found 
94,00:00.0,CACHE/FOUND,0,0,Odessa,ODESSA,UKRAINE,An IED was found in front of a National Guard Unit Headquarters,,400 gr TNT equivalent,An IED was found in front of a National Guard Unit Headquarters 400 gr TNT equivalent
95,00:00.0,CACHE/FOUND,0,0,Vodyane,ZAPORIZHYE,UKRAINE,Explosives were found in a cache,,,Explosives were found in a cache 
96,00:00.0,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK,UKRAINE,A cache with weapons and explosives was discovered,,,A cache with weapons and explosives was discovered 
97,00:00.0,CACHE/FOUND,0,0,Odessa,ODESSA,UKRAINE,An IED was found and disposed by emergency services (SSU),,,An IED was found and disposed by emergency services (SSU) 
98,00:00.0,CACHE/FOUND,0,0,TBD,LUHANSK,UKRAINEæ,A cache was discovered near Artemivsk-Lysychansk road,,,A cache was discovered near Artemivsk-Lysychansk road 
99,00:00.0,PROJECTED,0,0,Rivne,RIVNE,UKRAINE,A homemade grenade was blown up in the street,,,A homemade grenade was blown up in the street 
100,00:00.0,CACHE/FOUND,0,0,Plovynkyne,LUHANSK,UKRAINE,Another cache was discovered after investigation,,,Another cache was discovered after investigation 
101,00:00.0,UNKNOWN,0,2,Dzerzhinsk,DONETSK,UKRAINE,A device detonated affecting two persons,,,A device detonated affecting two persons 
102,00:00.0,CACHE/FOUND,0,0,Volodartsi,DONETSK,UKRAINE,A cache was discovered and TNT was found inside,,,A cache was discovered and TNT was found inside 
103,00:00.0,PROJECTED,0,0,Zaporizhia,ZAPORIZHYE,UKRAINE,A homemade hand grenade was thrown against a business office,,,A homemade hand grenade was thrown against a business office 
104,00:00.0,UNKNOWN,1,0,Ognevka,POLTAVA,UKRAINEæ,A device was blown up causing a fire with the result of a dead man,,,A device was blown up causing a fire with the result of a dead man 
105,00:00.0,UNKNOWN,1,0,Kievæ,æKIEV,UKRAINEæ,A soldier of national Guard was killed after a device detonated,,Possible hand grenade (TBC),A soldier of national Guard was killed after a device detonated Possible hand grenade (TBC)
106,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,"Near ""Arsenalnaya"" metro station","Call reporting IED - First Responders action - no explosive Near ""Arsenalnaya"" metro station"
107,00:00.0,CACHE/FOUND,0,0,Polovynkyne,LUHANSK,UKRAINE,A cache was found in an abandoned factory,,33 Kg of TNT,A cache was found in an abandoned factory 33 Kg of TNT
108,00:00.0,CACHE/FOUND,0,0,Bakhmutivka,LUHANSK,UKRAINE,A cache with explosives and weapons was found ,,,A cache with explosives and weapons was found  
109,00:00.0,CACHE/FOUND,0,0,TBD,DNIPROPETROVSK,UKRAINE,A suspect was detained when trying to sell explosives,,20 Kg of TNT,A suspect was detained when trying to sell explosives 20 Kg of TNT
110,00:00.0,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,600 gr of TNT were found in a cache along with weapons & ammo,,,600 gr of TNT were found in a cache along with weapons & ammo 
111,00:00.0,CACHE/FOUND,0,0,Vesele,DONETSK,UKRAINE,A cache wit weapons and  explosives was found,,"18x200 gr TNT, 4x400 gr TNT & 24 detonators","A cache wit weapons and  explosives was found 18x200 gr TNT, 4x400 gr TNT & 24 detonators"
112,00:00.0,CACHE/FOUND,0,0,Volodarsky,DONETSK,UKRAINE,A suspect was detained. Weapons and TNT were seized,,,A suspect was detained. Weapons and TNT were seized 
113,00:00.0,UNKNOWN,0,0,Kievæ,æKIEV,UKRAINEæ,"IED attack against an office of ""Sberbank""",,Victory Avenue,"IED attack against an office of ""Sberbank"" Victory Avenue"
114,00:00.0,UNKNOWN,0,0,Rovenky,LUHANSK ,UKRAINE,"IED attack against gas pipeline ""Moscow-Stavropol""",,,"IED attack against gas pipeline ""Moscow-Stavropol"" "
115,00:00.0,CACHE/FOUND,0,0,Odessa,ODESSA,UKRAINE,An IED laboratory was discovered after detention of suspects,,A complete IED & some components were found,An IED laboratory was discovered after detention of suspects A complete IED & some components were found
116,00:00.0,CACHE/FOUND,0,0,TBD,ZAPORIZHYE,UKRAINE,An IED laboratory was dismantled,,They were manufacturing TATP & improvised detonators,An IED laboratory was dismantled They were manufacturing TATP & improvised detonators
117,00:00.0,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,IEDs & explosives were found after detention of 2 suspects,,,IEDs & explosives were found after detention of 2 suspects 
118,00:00.0,CACHE/FOUND,0,0,Starobilsk,LUHANSK ,UKRAINE,Flash powder & munitions were found in a suspects home,,,Flash powder & munitions were found in a suspects home 
119,00:00.0,CACHE/FOUND,0,0,Novgorod,DONETSK,UKRAINE,Explosives were seized during a search,,"4 Kg TNT, plastic explosive and munitions","Explosives were seized during a search 4 Kg TNT, plastic explosive and munitions"
120,00:00.0,UNKNOWN,0,0,Mikolayiv,MIKOLAYIV,UKRAINE,Two devices were detonated against a volunteers office,,Youth Center,Two devices were detonated against a volunteers office Youth Center
121,00:00.0,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,One suspect was detained in possesion of flash powder,,"In ""Mezhevaya"" train station","One suspect was detained in possesion of flash powder In ""Mezhevaya"" train station"
122,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Metro station in Independence Square,Call reporting IED - First Responders action - no explosive Metro station in Independence Square
123,00:00.0,CWIED,0,0,Kondrashevska,LUHANSK ,UKRAINE,A train transporting coal was derailed due to detonation of a device,,Second IED failed: TM-62M mine & 4x400 gr TNT as main charge,A train transporting coal was derailed due to detonation of a device Second IED failed: TM-62M mine & 4x400 gr TNT as main charge
124,00:00.0,CACHE/FOUND,0,0,Kievæ,æKIEV,UKRAINEæ,IED components and schemes found during a detention of suspects,,,IED components and schemes found during a detention of suspects 
125,00:00.0,CACHE/FOUND,0,0,Lviv,LVIV,UKRAINE,Homemade grenade was found in the roof of a kindergarten,,Novoznerenska St,Homemade grenade was found in the roof of a kindergarten Novoznerenska St
126,00:00.0,CACHE/FOUND,0,0,Kievæ,æKIEV,UKRAINEæ,A guy was detained with fuzes and detonators inside a backpack,,Vokzalnaya metro station,A guy was detained with fuzes and detonators inside a backpack Vokzalnaya metro station
127,00:00.0,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,An urdenbelly IED was found under a car,,"Krasnov St., 100 gr TNT.","An urdenbelly IED was found under a car Krasnov St., 100 gr TNT."
128,00:00.0,CACHE/FOUND,0,0,TBD,KHARKIV,UKRAINE,Suspects were detained while laying an IED against the railway,,2.5 Kg TNT,Suspects were detained while laying an IED against the railway 2.5 Kg TNT
129,00:00.0,CACHE/FOUND,0,0,Kievæ,æKIEV,UKRAINEæ,Some explosives were found during the seize of an arsenal,,,Some explosives were found during the seize of an arsenal 
130,00:00.0,UNKKNOWN,1,0,Stepove,DNIPROPETROVSK,UKRAINEæ,A car was affected by the detonation of an IED,,The driver died,A car was affected by the detonation of an IED The driver died
131,00:00.0,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,A homemade grenade was found in the roof of a kiosk,,,A homemade grenade was found in the roof of a kiosk 
132,00:00.0,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK,UKRAINE,A modified hand grenade was found inside a suspects bag,,,A modified hand grenade was found inside a suspects bag 
133,00:00.0,CACHE/FOUND,0,0,Kobelyaki,POLTAVA,UKRAINEæ,Fuzes and detonators found along with weapons and equipment,,,Fuzes and detonators found along with weapons and equipment 
134,00:00.0,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,Cache with explosives was found near a railway station,,Novomoskov station,Cache with explosives was found near a railway station Novomoskov station
135,00:00.0,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,"An IED was detonated against bar ""BIKINI""",,,"An IED was detonated against bar ""BIKINI"" "
136,00:00.0,CACHE/FOUND,0,0,TBD,IVANO-FRANKIVSK,UKRAINE,Some guys were detained when trying to sell radioactive material,,Reported as Uranium 238 by SBU,Some guys were detained when trying to sell radioactive material Reported as Uranium 238 by SBU
137,00:00.0,CACHE/FOUND,0,0,Kievæ,æKIEV,UKRAINEæ,"After a shooting, some explosives were found during detentions",,"Detonators, detonating cord and weapons","After a shooting, some explosives were found during detentions Detonators, detonating cord and weapons"
138,00:00.0,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Sumy Street,Call reporting IED - First Responders action - no explosive Sumy Street
139,00:00.0,PROJECTED,0,0,Odessa,ODESSA,UKRAINE,"An IED was thrown against the NGO ""Self-Defences of Odessa""",,200 gr TNT-equivalent. Kanatnaya Street. From a motorcycle.,"An IED was thrown against the NGO ""Self-Defences of Odessa"" 200 gr TNT-equivalent. Kanatnaya Street. From a motorcycle."
140,00:00.0,UNKNOWN,0,0,Popasna,LUHANSK ,UKRAINE,A portion of railway was blown up,,Sentyanivka-Shipilova Stretch (6th attack in the same site),A portion of railway was blown up Sentyanivka-Shipilova Stretch (6th attack in the same site)
141,00:00.0,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,Rymarska Street,Call reporting IED - First Responders action - no explosive Rymarska Street
142,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,General Prosecutors Office of Ukraine,Call reporting IED - First Responders action - no explosive General Prosecutors Office of Ukraine
143,00:00.0,CACHE/FOUND,0,0,Kamenka-Dnieper,ZAPORIZHYE,UKRAINE,A suspect was detained in possesion of explosives and weapons,,500 gr TNT and black powder,A suspect was detained in possesion of explosives and weapons 500 gr TNT and black powder
144,00:00.0,CACHE/FOUND,0,0,Severodonetsk,LUHANSK,UKRAINE,A cache was found by members of DONBASS Batallion,,Some explosives were found along with weapons,A cache was found by members of DONBASS Batallion Some explosives were found along with weapons
145,00:00.0,CACHE/FOUND,0,0,Kievæ,æKIEV,UKRAINEæ,An Ukrainian soldier was detained with some explosives,,Plastic explosive & fuzes. Forest metro station.,An Ukrainian soldier was detained with some explosives Plastic explosive & fuzes. Forest metro station.
146,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Dorohozhychi Metro Station ,Call reporting IED - First Responders action - no explosive Dorohozhychi Metro Station 
