s_id,t_id,cs_value
304,469,0.501798688
304,324,0.524306375
304,194,0.574421082
305,246,1
305,146,0.525783819
305,467,0.514283707
305,545,0.525783819
305,530,0.538587827
305,540,0.547739103
305,525,0.525783819
305,526,0.565593113
306,526,0.558741048
306,525,0.519414036
306,540,0.541103336
306,530,0.532062926
306,545,0.519414036
306,467,0.508053247
306,146,0.519414036
306,247,1
307,248,1
309,540,0.616375846
313,212,0.503368904
313,189,0.621780047
317,149,0.539396925
320,185,0.501483906
320,484,0.53640507
324,489,0.553808698
324,469,0.51049356
324,454,0.527232089
324,451,0.584374311
324,194,0.584374311
324,195,0.508781639
324,230,0.527262785
324,540,0.526523611
324,530,0.517726789
324,525,0.505418716
324,526,0.543686084
324,545,0.505418716
344,577,0.73715458
344,351,0.600222484
345,346,0.91694883
350,351,0.747878468
350,577,0.716084592
350,562,0.513659352
352,484,0.633602087
352,241,0.502891423
353,423,0.524557231
353,256,0.535891411
353,505,1
366,514,0.600740786
366,562,0.513659352
366,577,0.716084592
366,403,0.518290881
366,350,1
366,351,0.747878468
366,187,0.554037286
385,194,0.535220113
385,80,0.535220113
385,451,0.535220113
397,406,0.516961145
397,444,0.583631276
403,350,0.518290881
409,417,0.526680038
413,529,0.608200825
421,428,0.533732647
423,505,0.524557231
431,527,0.508277125
434,597,0.536986084
434,195,0.799531341
439,355,0.532518936
442,199,0.502261894
451,230,0.502471094
451,194,1
451,469,0.671498693
451,472,0.567605663
451,489,0.825963427
451,502,0.606578667
451,545,0.553728087
451,549,0.50328972
451,526,0.595653159
451,530,0.567212601
451,540,0.576850247
451,525,0.553728087
456,502,0.538368364
457,486,0.53828718
457,451,0.508092128
457,194,0.508092128
458,236,0.582439443
458,486,0.668005203
458,483,0.902244341
458,500,1
458,501,1
458,507,0.536325999
458,578,0.563770249
460,462,1
460,217,0.549250998
461,420,0.518778587
462,217,0.549250998
464,194,0.609077749
464,451,0.609077749
464,502,0.514111095
464,489,0.577220027
465,483,0.532768324
467,471,0.577911405
467,214,0.50852725
467,246,0.514283707
467,247,0.508053247
467,545,0.581772158
467,525,0.581772158
467,540,0.606065361
